A,B,Weight
Ali,Muhammad_Husayn_Tabatabaei,1
Ali,Said_Nursî,1
Alice_Miller,Stefan_Molyneux,1
Alice_Walker,Patricia_Hill_Collins,1
Al-Jahiz,Abu_Ray?an_al-Biruni,1
Al-Jahiz,Ebn_Meskavayh,1
Al-Jahiz,Ibn_Tufail,1
Al-Khalil_ibn_Ahmad_al-Farahidi,Sibawayh,1
Al-Kindi,Abu_Ma'shar_al-Balkhi,1
Al-Kindi,Abu_Zayd_al-Balkhi,1
Al-Kindi,Ahmad_ibn_al-Tayyib_al-Sarakhsi,1
Al-Kindi,Ebn_Meskavayh,1
Al-Kindi,Isaac_Israeli_ben_Solomon,1
Allah_Bakhsh,Allama_Muhammad_Idrees_Dahiri,1
Allah_Bakhsh,Muhammad_Tahir,1
Allameh_Qazi,Muhammad_Husayn_Tabatabaei,1
Allan_Bloom,Alan_Keyes,1
Allan_Bloom,Francis_Fukuyama,1
Allan_Bloom,Harvey_Mansfield,1
Allan_Bloom,Thomas_Pangle,1
Al-Ma?arri,Taha_Hussein,1
Alonzo_Church,Nathan_Salmon,1
Al-Suyuti,Syed_Faiz-ul_Hassan_Shah,1
Al-Suyuti,Syed_Murtaza_Amin_Shah,1
Alvin_Plantinga,William_Lane_Craig,1
Amin_Ahsan_Islahi,Israr_Ahmed,1
Amin_Ahsan_Islahi,Javed_Ahmad_Ghamidi,1
Amin_Ahsan_Islahi,Khalid_Masud,1
Amin_Ahsan_Islahi,Muhammad_Farooq_Khan,1
Ammonius_Saccas,Plotinus,1
Analytic_philosophy,Luciano_Floridi,1
Anaxagoras,Archelaus,1
Anaximander,Anaximenes_of_Miletus,1
Anaximander,Martin_Heidegger,1
Anaximander,Pythagoras,1
Ancient_Egyptian_religion,Thales,1
Anders_Chydenius,Adam_Smith,1
André_Gide,Albert_Camus,1
André_Leroi-Gourhan,Gilbert_Simondon,1
André_Martinet,Lorenzo_Peña,1
Andrea_Alciato,John_Selden,1
Andrew_of_St_Victor,Adam_of_Dryburgh,1
Andrey_Zaliznyak,Sergei_Anatolyevich_Starostin,1
Angela_Davis,Patricia_Hill_Collins,1
"Anne-Robert-Jacques_Turgot,_Baron_de_Laune",Murray_Rothbard,1
Anselm_of_Canterbury_,Bonaventure,1
Anselm_of_Canterbury_,Georg_Wilhelm_Friedrich_Hegel,1
Anselm_of_Canterbury_,Gottfried_Leibniz,1
Anselm_of_Canterbury_,Thomas_Aquinas,1
Anselm_of_Canterbury,Bonaventure_,1
Anselm_of_Canterbury,Duns_Scotus,1
Anselm_of_Canterbury,Georg_Wilhelm_Friedrich_Hegel,1
Anselm_of_Canterbury,René_Descartes,1
Anselm,Adam_of_Dryburgh,1
"Anthony_Ashley-Cooper,_3rd_Earl_of_Shaftesbury",David_Hume,1
"Anthony_Ashley-Cooper,_3rd_Earl_of_Shaftesbury",Francis_Hutcheson,1
"Anthony_Ashley-Cooper,_3rd_Earl_of_Shaftesbury",Immanuel_Kant,1
Anthony_de_Jasay,Jan_Narveson,1
Anthroposophy,Tommaso_Palamidessi,1
Antipater_of_Tarsus,Panaetius,1
Antisthenes,Crates_of_Thebes,1
Antisthenes,Cynicism,1
Antisthenes,Diogenes_of_Sinope,1
Antisthenes,Gustavo_Bueno,1
Antisthenes,Stoicism,1
Antonio_Gramsci,Alain_de_Benoist,1
Antonio_Gramsci,Alex_Callinicos,1
Antonio_Gramsci,Alexander_Tarasov,1
Antonio_Gramsci,Chantal_Mouffe,1
Antonio_Gramsci,Cornel_West,1
Antonio_Gramsci,Domenico_Losurdo,1
Antonio_Gramsci,Edward_Said,1
Antonio_Gramsci,Eric_Hobsbawm,1
Antonio_Gramsci,Ernesto_Laclau,1
Antonio_Gramsci,Gayatri_Chakravorty_Spivak,1
